Accelerometer: X: -0.54, Y: 0.68, Z: -0.7
Gyroscope: X: 1.81, Y: 10.16, Z: 0.0
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.55, Y: 0.65, Z: -0.73
Gyroscope: X: 1.81, Y: 9.95, Z: 0.07
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.56, Y: 0.67, Z: -0.71
Gyroscope: X: 1.95, Y: 9.88, Z: 0.0
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.54, Y: 0.66, Z: -0.71
Gyroscope: X: 1.74, Y: 10.16, Z: -0.42
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.54, Y: 0.66, Z: -0.72
Gyroscope: X: 2.16, Y: 9.95, Z: 0.0
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.56, Y: 0.66, Z: -0.73
Gyroscope: X: 1.39, Y: 9.81, Z: -0.28
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.54, Y: 0.66, Z: -0.71
Gyroscope: X: 1.74, Y: 10.5, Z: 0.07
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.54, Y: 0.66, Z: -0.71
Gyroscope: X: 1.6, Y: 10.57, Z: -0.42
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.54, Y: 0.66, Z: -0.71
Gyroscope: X: 1.53, Y: 9.74, Z: 0.35
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.57, Y: 0.68, Z: -0.72
Gyroscope: X: 1.39, Y: 10.57, Z: -0.77
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.54, Y: 0.68, Z: -0.7
Gyroscope: X: 2.16, Y: 9.81, Z: -0.07
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.54, Y: 0.67, Z: -0.7
Gyroscope: X: 1.95, Y: 9.95, Z: -0.77
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.55, Y: 0.64, Z: -0.73
Gyroscope: X: 1.74, Y: 9.81, Z: -0.14
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.55, Y: 0.65, Z: -0.73
Gyroscope: X: 1.46, Y: 10.02, Z: -0.63
Trackball: X: 0, Y: 0, Button Status: Not Clicked
Accelerometer: X: -0.56, Y: 0.66, Z: -0.73
